# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	12980
#@/user_id	lab_macos
a 	吖	c=1 d=1.22815e-06 t=12980
bian yuan hua 	邊緣化	c=1 d=0.0139818 t=12980
biao 	錶	c=3 d=0.857939 t=12980
biao da 	表達	c=2 d=8.29382e-06 t=12980
biao da shi 	表達式	c=2 d=0.000203926 t=12980
biao da shi zhong de 	表達式中的	c=1 d=1.60884e-06 t=12980
biao dan 	表單	c=2 d=0.0982736 t=12980
biao qian 	標籤	c=4 d=0.66034 t=12980
biao shi 	表示	c=4 d=0.19398 t=12980
biao shi fu 	標識符	c=2 d=0.00359983 t=12980
biao zhun 	標準	c=4 d=0.603016 t=12980
biao zhun hua 	標準化	c=1 d=0.0261214 t=12980
bie 	別	c=15 d=0.428687 t=12980
bie de 	別的	c=2 d=0.0225992 t=12980
bie dong 	別動	c=1 d=0.0141223 t=12980
bie dou 	別逗	c=1 d=0.408608 t=12980
bie gei 	別給	c=1 d=5.07135e-13 t=12980
bie gei wo 	別給我	c=1 d=3.03694e-10 t=12980
bie guan 	別管	c=1 d=0.0265162 t=12980
bie jiao jin 	別較勁	c=1 d=0.0977834 t=12980
bie kan 	別看	c=0 d=0.000117088 t=12980
bie kan suo tai 	別看索泰	c=1 d=0.00117675 t=12980
bie ming 	別名	c=3 d=1.22936 t=12980
bie na me 	別那麼	c=1 d=3.73757e-11 t=12980
bie ren 	別人	c=1 d=0.0026189 t=12980
bie wen 	別問	c=2 d=5.82278e-11 t=12980
bie xia shuo 	別瞎說	c=1 d=0.00109172 t=12980
bie yan jiu 	別研究	c=1 d=4.40807e-11 t=12980
bie ying xiang 	別影響	c=1 d=4.51735e-05 t=12980
bie zhao wo 	別找我	c=1 d=0.0294518 t=12980
bin 	斌	c=0 d=6.31929e-14 t=12980
bing 	並	c=5 d=0.00156015 t=12980
bing fei 	並非	c=1 d=3.40764e-12 t=12980
bing li 	病例	c=3 d=1.47087 t=12980
bing mei 	並沒	c=1 d=4.82319e-11 t=12980
bing qie 	並且	c=5 d=0.00211139 t=12980
bing shan 	冰山	c=1 d=0.239309 t=12980
bing zai 	並在	c=2 d=0.00910118 t=12980
bo 	撥	c=3 d=6.25442e-05 t=12980
bo bao 	播報	c=1 d=5.37195e-14 t=12980
bo fang qi 	播放器	c=1 d=0.186374 t=12980
bo hao 	撥號	c=4 d=1.57991 t=12980
bo ke 	博客	c=1 d=0.106992 t=12980
bo luo 	菠蘿	c=1 d=2.8044e-14 t=12980
bo shi 	博士	c=2 d=0.000469273 t=12980
bu 	不	c=25 d=2.26622 t=12980
bu 	步	c=1 d=0.00138785 t=12980
bu bao han 	不包含	c=1 d=0.105399 t=12980
bu bian 	不變	c=3 d=4.42179e-05 t=12980
bu chong tu 	不衝突	c=1 d=0.00292342 t=12980
bu chu 	不出	c=1 d=2.01026e-09 t=12980
bu chu cheng ji 	不出成績	c=1 d=0.0178634 t=12980
bu chu cuo 	不出錯	c=1 d=0.0269169 t=12980
bu chu yi wai 	不出意外	c=1 d=3.72665e-06 t=12980
bu chuai ce 	不揣測	c=1 d=0.715338 t=12980
bu cuo 	不錯	c=1 d=0.275271 t=12980
bu da 	不大	c=3 d=1.24804 t=12980
bu dai biao 	不代表	c=1 d=0.00201931 t=12980
bu dan wu 	不耽誤	c=1 d=0.101774 t=12980
bu dao 	不到	c=2 d=0.115903 t=12980
bu deng lu 	不登錄	c=2 d=2.26579e-05 t=12980
bu duan 	不斷	c=1 d=1.33711e-06 t=12980
bu dui 	不對	c=5 d=0.219808 t=12980
bu duo 	不多	c=1 d=1.1804e-10 t=12980
bu er nuo 	布爾諾	c=0 d=0.0247833 t=12980
bu er nuo na ge 	布爾諾那個	c=1 d=0.249075 t=12980
bu fang bian 	不方便	c=1 d=0.000296045 t=12980
bu fu 	不符	c=2 d=5.72001e-05 t=12980
bu fu he 	不符合	c=1 d=0.0149956 t=12980
bu fu he yu qi 	不符合預期	c=1 d=1.51932e-09 t=12980
bu gan 	不幹	c=0 d=0.00800583 t=12980
bu gan 	不敢	c=1 d=2.24325e-05 t=12980
bu gao 	不高	c=1 d=1.31108e-10 t=12980
bu gou 	不夠	c=1 d=0.818731 t=12980
bu guan 	不管	c=1 d=0.186374 t=12980
bu guan le 	不管了	c=2 d=0.00228818 t=12980
bu gui 	不貴	c=1 d=0.00218749 t=12980
bu guo 	不過	c=5 d=0.0426994 t=12980
bu hao 	不好	c=1 d=4.95809e-12 t=12980
bu hao nong 	不好弄	c=1 d=4.25718e-13 t=12980
bu hao shi 	不好使	c=4 d=3.57393e-12 t=12980
bu hao shi le 	不好使了	c=1 d=0.148823 t=12980
bu hao zhao 	不好找	c=1 d=0.396531 t=12980
bu he gui 	不合規	c=2 d=0.257947 t=12980
bu hui 	不會	c=11 d=0.950473 t=12980
bu hui bei 	不會被	c=1 d=1.92115e-05 t=12980
bu hui kuo 	不會擴	c=1 d=0.211189 t=12980
bu hui shu ju ku 	不會數據庫	c=1 d=0.00980366 t=12980
bu huo yue 	不活躍	c=1 d=0.0437178 t=12980
bu ji de 	不記得	c=1 d=0.0071546 t=12980
bu jie tu 	不截圖	c=1 d=4.08038e-14 t=12980
bu jiu 	不久	c=1 d=0.0209629 t=12980
bu kan 	不看	c=2 d=0.0867261 t=12980
bu kao pu 	不靠譜	c=1 d=0.442639 t=12980
bu ke 	不可	c=1 d=1.09738e-05 t=12980
bu ke bian 	不可變	c=3 d=7.09026e-08 t=12980
bu ke neng 	不可能	c=1 d=0.00019549 t=12980
bu ke yong 	不可用	c=1 d=0.00111936 t=12980
bu le 	不了	c=1 d=0.326224 t=12980
bu li 	不離	c=1 d=0.0325493 t=12980
bu liao 	不了	c=1 d=0.0213318 t=12980
bu men 	部門	c=3 d=0.0169907 t=12980
bu ming bai 	不明白	c=1 d=0.0132999 t=12980
bu neng 	不能	c=12 d=0.689899 t=12980
bu pei 	不配	c=1 d=1.04692e-10 t=12980
bu peng 	不碰	c=0 d=0.00190631 t=12980
bu peng le 	不碰了	c=1 d=0.0191587 t=12980
bu pi pei 	不匹配	c=0 d=0.00197421 t=12980
bu ping jia 	不評價	c=2 d=0.937067 t=12980
bu qing chu 	不清楚	c=2 d=0.802559 t=12980
bu quan 	不全	c=1 d=2.06115e-09 t=12980
bu quan 	補全	c=1 d=0.955997 t=12980
bu que 	不缺	c=1 d=3.36503e-11 t=12980
bu que ding 	不確定	c=1 d=1.22724e-11 t=12980
bu rang 	不讓	c=1 d=4.79548e-06 t=12980
bu rang qu 	不讓去	c=1 d=5.14624e-09 t=12980
bu ren tong 	不認同	c=1 d=0.0198411 t=12980
bu ru 	不如	c=2 d=2.61119e-09 t=12980
bu shan chu 	不刪除	c=1 d=0.522046 t=12980
bu shang 	不上	c=1 d=0.0158434 t=12980
bu shao 	不少	c=1 d=0.0298969 t=12980
bu she zhi 	不設置	c=1 d=9.88503e-12 t=12980
bu shi 	不是	c=17 d=0.660924 t=12980
bu shou 	不受	c=1 d=0.0682212 t=12980
bu shou xian zhi 	不受限制	c=1 d=2.47319e-06 t=12980
bu shu 	布署	c=16 d=1.51535 t=12980
bu shu 	部署	c=3 d=1.17365e-07 t=12980
bu shuo 	不說	c=2 d=1.07108e-06 t=12980
bu sun hao 	不損耗	c=2 d=1.86661e-10 t=12980
bu tai 	不太	c=1 d=0.00835545 t=12980
bu tai hao 	不太好	c=1 d=0.609571 t=12980
bu tai hui zuo 	不太會做	c=1 d=3.01297e-05 t=12980
bu tai liao jie 	不太瞭解	c=1 d=0.00835412 t=12980
bu tai qing chu 	不太清楚	c=2 d=0.17552 t=12980
bu tai shu 	不太熟	c=1 d=0.117068 t=12980
bu tai shu xi 	不太熟悉	c=1 d=1.42764e-12 t=12980
bu tai xing 	不太行	c=5 d=0.0287634 t=12980
bu ting 	不停	c=1 d=0.000194515 t=12980
bu tong 	不同	c=2 d=0.0557106 t=12980
bu tong 	不通	c=20 d=0.213429 t=12980
bu tong le 	不同了	c=1 d=0.559898 t=12980
bu wen 	不問	c=1 d=0.357007 t=12980
bu wen 	不穩	c=1 d=0.634448 t=12980
bu xiang 	不像	c=3 d=0.748264 t=12980
bu xie 	不寫	c=1 d=8.65906e-13 t=12980
bu xin xie 	不信邪	c=0 d=5.54894e-14 t=12980
bu xing 	不行	c=12 d=1.54985 t=12980
bu xuan 	不選	c=1 d=3.80194e-06 t=12980
bu yao 	不要	c=3 d=1.22836e-08 t=12980
bu yi ding 	不一定	c=1 d=9.9569e-09 t=12980
bu yi yang 	不一樣	c=2 d=0.250324 t=12980
bu yi zhi 	不一致	c=3 d=0.00120654 t=12980
bu ying xiang 	不影響	c=2 d=5.40825e-05 t=12980
bu yong 	不用	c=11 d=1.38649 t=12980
bu yong gai 	不用改	c=1 d=7.71839e-13 t=12980
bu yong kan 	不用看	c=1 d=1.88407e-11 t=12980
bu yun xu 	不允許	c=3 d=0.267135 t=12980
bu zao shuo 	不早說	c=1 d=0.551563 t=12980
bu zhao ji 	不着急	c=4 d=0.000441495 t=12980
bu zhi chi 	不支持	c=1 d=0.0948935 t=12980
bu zhi dao 	不知道	c=23 d=0.27229 t=12980
bu zhi yu 	不至於	c=2 d=0.000190664 t=12980
bu zhong yao 	不重要	c=1 d=4.03704e-06 t=12980
bu zhou 	步驟	c=2 d=7.44785e-05 t=12980
cai 	才	c=5 d=0.140858 t=12980
cai en na ge 	才嗯那個	c=1 d=1.6544e-11 t=12980
cai gou 	採購	c=1 d=2.12942e-10 t=12980
cai ji 	採集	c=1 d=3.12996e-12 t=12980
cai meng 	才猛	c=1 d=0.477114 t=12980
cai neng 	才能	c=1 d=4.97092e-05 t=12980
cai yang 	採樣	c=1 d=0.0466538 t=12980
cai yong 	採用	c=1 d=4.6437e-06 t=12980
can 	慘	c=1 d=4.27852e-13 t=12980
can hui 	參會	c=1 d=1.54202e-07 t=12980
can jia 	參加	c=1 d=2.94132e-07 t=12980
can jian 	參見	c=1 d=0.625002 t=12980
can kao 	參考	c=1 d=8.87373e-07 t=12980
can shu 	參數	c=17 d=0.00567697 t=12980
cang ku 	倉庫	c=2 d=1.44945e-06 t=12980
cao 	草	c=0 d=2.76745e-06 t=12980
cao hai quan 	草海蜷	c=1 d=2.78132e-05 t=12980
cao zuo 	操作	c=10 d=0.787241 t=12980
cao zuo xi tong 	操作系統	c=1 d=2.66763e-14 t=12980
ce 	測	c=4 d=0.733447 t=12980
ce lve 	策略	c=5 d=0.30271 t=12980
ce shi 	測試	c=40 d=0.785358 t=12980
ce shi yi xia shu ru fa 	測試一下輸入法	c=1 d=0.0536647 t=12980
ceng mian 	層面	c=3 d=1.05286e-12 t=12980
cha 	差	c=1 d=8.40029e-09 t=12980
cha 	查	c=2 d=0.960789 t=12980
cha bu duo 	差不多	c=6 d=0.909373 t=12980
cha bu duo le 	差不多了	c=1 d=0.873716 t=12980
cha cha 	查查	c=1 d=0.000127806 t=12980
cha dao 	查到	c=4 d=0.571209 t=12980
cha dian 	差點	c=1 d=0.000276241 t=12980
cha dian yi si 	差點意思	c=1 d=0.000253537 t=12980
cha jian 	插件	c=3 d=0.000182396 t=12980
cha kan 	查看	c=8 d=0.182395 t=12980
cha le 	查了	c=1 d=0.585669 t=12980
cha shang 	插上	c=2 d=0.0850088 t=12980
cha yi 	差異	c=2 d=0.242935 t=12980
cha yi xia 	查一下	c=1 d=6.92876e-08 t=12980
cha zhao 	查找	c=1 d=6.02562e-12 t=12980
chai fen 	拆分	c=1 d=0.0225956 t=12980
chai jie 	拆解	c=1 d=0.00174675 t=12980
chai kai 	拆開	c=1 d=0.194952 t=12980
chan pin 	產品	c=2 d=0.00319873 t=12980
chan sheng 	產生	c=2 d=3.03118e-05 t=12980
chan ye 	產業	c=1 d=0.00444934 t=12980
chang 	長	c=1 d=2.02591e-12 t=12980
chang dao 	嚐到	c=1 d=0.0518189 t=12980
chang du 	長度	c=1 d=0.0982736 t=12980
chang gui 	常規	c=3 d=0.554333 t=12980
chang jia 	廠家	c=2 d=0.0222592 t=12980
chang jian 	常見	c=1 d=1.06e-09 t=12980
chang jing 	場景	c=5 d=1.73041e-05 t=12980
chang shang 	廠商	c=3 d=7.55946e-12 t=12980
chang shi 	嘗試	c=1 d=0.177284 t=12980
chang shi 	常識	c=1 d=0.178173 t=12980
chao 	超	c=1 d=0.00204983 t=12980
chao de 	抄的	c=1 d=1.81834e-05 t=12980
che 	扯	c=1 d=1.50784e-08 t=12980
che pai hao 	車牌號	c=1 d=0.0780817 t=12980
che xiao 	撤銷	c=1 d=1.44498e-07 t=12980
chen dian 	沉澱	c=1 d=0.00164502 t=12980
cheng 	城	c=1 d=1.17775e-13 t=12980
cheng 	成	c=2 d=0.519442 t=12980
cheng du 	成都	c=1 d=0.189191 t=12980
cheng du 	程度	c=1 d=0.188247 t=12980
cheng gong 	成功	c=4 d=0.395746 t=12980
cheng guo 	成果	c=1 d=3.17727e-12 t=12980
cheng qi lai 	撐起來	c=2 d=0.020514 t=12980
cheng shi 	城市	c=1 d=0.532592 t=12980
cheng shu 	成熟	c=1 d=0.0031042 t=12980
cheng tian 	成天	c=2 d=0.107656 t=12980
cheng tian keng wo 	成天坑我	c=1 d=0.158817 t=12980
cheng wei 	稱爲	c=3 d=0.0374544 t=12980
cheng xu 	程序	c=9 d=0.484343 t=12980
cheng zai 	承載	c=1 d=7.83371e-11 t=12980
chi 	吃	c=5 d=0.0062709 t=12980
chi bao 	吃飽	c=0 d=2.76933e-14 t=12980
chi bu liao 	吃不了	c=1 d=0.000241172 t=12980
chi fan 	喫飯	c=1 d=0.000170803 t=12980
chi fan le ma 	吃饭了吗	c=1 d=0.000553084 t=12980
chi gua 	吃瓜	c=1 d=6.80914e-09 t=12980
chi jiu 	持久	c=1 d=1.12283e-10 t=12980
chi le 	吃了	c=1 d=0.000294568 t=12980
chi sha 	癡傻	c=1 d=3.81113e-05 t=12980
chi xu 	持續	c=1 d=6.31714e-09 t=12980
chong dian bao 	充电宝	c=1 d=0.20089 t=12980
chong fen 	充分	c=1 d=0.000201444 t=12980
chong fu 	重複	c=1 d=8.98459e-06 t=12980
chong jian 	重建	c=1 d=1.30432e-08 t=12980
chong kai 	重開	c=1 d=1.65468e-13 t=12980
chong lang 	衝浪	c=1 d=0.276651 t=12980
chong ming 	重名	c=1 d=0.010889 t=12980
chong qi 	重啓	c=15 d=0.00058442 t=12980
chong xin 	重新	c=7 d=0.00215274 t=12980
chong xin pei zhi 	重新配置	c=1 d=1.66297e-13 t=12980
chong zhi 	重置	c=4 d=0.246597 t=12980
chong zhuang 	重裝	c=2 d=5.87009e-09 t=12980
chou xiang 	抽象	c=2 d=0.000370867 t=12980
chu 	齣	c=8 d=0.393332 t=12980
chu cheng ji 	出成績	c=1 d=0.0193749 t=12980
chu dian qian 	出點錢	c=1 d=0.909373 t=12980
chu fei 	除非	c=1 d=8.78394e-05 t=12980
chu ge 	出個	c=2 d=0.0692485 t=12980
chu ji 	初級	c=1 d=0.00141589 t=12980
chu kou 	出口	c=3 d=0.000973904 t=12980
chu lai 	出來	c=3 d=0.0668703 t=12980
chu lai gan sha 	出來幹啥	c=1 d=0.000116806 t=12980
chu lai le 	出來了	c=1 d=0.57695 t=12980
chu le 	除了	c=2 d=0.0162445 t=12980
chu le dian 	出了點	c=1 d=5.87685e-12 t=12980
chu li 	處理	c=11 d=0.0147723 t=12980
chu qi 	初七	c=1 d=6.66048e-14 t=12980
chu qu 	出去	c=1 d=0.208045 t=12980
chu ru 	出入	c=1 d=0.0637628 t=12980
chu ru shen qing 	出入申請	c=1 d=0.640824 t=12980
chu shi 	出事	c=1 d=6.73909e-05 t=12980
chu shi 	初始	c=1 d=1.3606e-05 t=12980
chu shi hua 	初始化	c=2 d=0.149725 t=12980
chu tan 	出攤	c=1 d=0.219808 t=12980
chu wen ti 	出問題	c=2 d=6.41087e-05 t=12980
chu xian 	出現	c=2 d=0.0115052 t=12980
chu xian guo 	出現過	c=1 d=1.35427e-09 t=12980
chu xu 	儲蓄	c=1 d=6.28563e-09 t=12980
chu yi ge 	出一個	c=1 d=3.71766e-07 t=12980
chu yu 	處於	c=2 d=0.00815336 t=12980
chu zai na 	出在哪	c=1 d=7.15825e-09 t=12980
chu zu che 	出租車	c=1 d=0.543351 t=12980
chuai ce 	揣測	c=0 d=0.071177 t=12980
chuan 	傳	c=2 d=0.00484367 t=12980
chuan da 	傳達	c=1 d=0.00412784 t=12980
chuan dao 	傳到	c=1 d=1.88375e-09 t=12980
chuan tong 	傳統	c=2 d=6.31993e-06 t=12980
chuan xiao 	傳銷	c=1 d=0.0280154 t=12980
chuang jian 	創建	c=8 d=0.191021 t=12980
chuang jian hao le ma 	創建好了嗎	c=1 d=6.59084e-08 t=12980
chuang jian wan le 	創建完了	c=1 d=0.179964 t=12980
chuang xin 	創新	c=2 d=0.0037164 t=12980
chuang zao 	創造	c=1 d=0.139457 t=12980
chui 	吹	c=1 d=0.00138785 t=12980
ci 	此	c=4 d=0.980761 t=12980
ci 	詞	c=1 d=0.000431829 t=12980
ci ku 	詞庫	c=5 d=2.36455 t=12980
ci pan 	磁盤	c=2 d=0.000854495 t=12980
cong 	從	c=16 d=2.69481 t=12980
cong er shi 	從而使	c=1 d=7.96861e-06 t=12980
cong lai 	從來	c=1 d=3.34824e-11 t=12980
cou re nao 	湊熱鬧	c=0 d=9.88671e-15 t=12980
cou re nao er 	湊熱鬧兒	c=2 d=0.066205 t=12980
cu ren 	粗人	c=0 d=0.0540641 t=12980
cu ren le 	粗人了	c=1 d=0.543351 t=12980
cu xian 	粗線	c=1 d=0.0114473 t=12980
cui xia 	催下	c=1 d=2.26148e-12 t=12980
cun ai 	存爱	c=1 d=0.00178203 t=12980
cun chu 	存儲	c=36 d=0.995231 t=12980
cun dang 	存檔	c=1 d=0.0880368 t=12980
cun fang 	存放	c=2 d=0.181959 t=12980
cun zai 	存在	c=5 d=0.00200221 t=12980
cun zai gan 	存在感	c=0 d=0.0869358 t=12980
cun zai gan yong 	存在感用	c=1 d=0.873716 t=12980
cuo wu 	錯誤	c=3 d=0.198891 t=12980
da 	大	c=12 d=2.19902 t=12980
da 	打	c=3 d=0.000125275 t=12980
da 	答	c=1 d=3.72729e-08 t=12980
da an 	答案	c=1 d=3.51023e-08 t=12980
da bai cai 	大白菜	c=1 d=3.9272e-05 t=12980
da bao 	打包	c=1 d=3.06642e-06 t=12980
da bu fen 	大部分	c=1 d=2.01512e-08 t=12980
da chang 	大廠	c=1 d=0.0217096 t=12980
da chang 	大腸	c=1 d=0.000413853 t=12980
da che 	打車	c=2 d=0.374892 t=12980
da dao 	達到	c=1 d=1.67045e-07 t=12980
da dian 	大點	c=1 d=0.767206 t=12980
da dian hua 	打電話	c=5 d=0.200093 t=12980
da duo shu 	大多數	c=4 d=0.000291874 t=12980
da fa 	大法	c=1 d=8.96444e-09 t=12980
da fu 	答覆	c=2 d=0.000443861 t=12980
da gai 	大概	c=3 d=3.09452e-08 t=12980
da gang 	大綱	c=1 d=1 t=12980
da ge 	大哥	c=3 d=1.29306 t=12980
da hai 	大海	c=2 d=0.313502 t=12980
da jian 	搭建	c=4 d=0.006179 t=12980
da ka 	打卡	c=1 d=0.00018046 t=12980
da kai 	打開	c=4 d=1.33002e-05 t=12980
da lao 	大佬	c=4 d=0.839286 t=12980
da liang 	大量	c=1 d=0.0256042 t=12980
da ma jiang 	打麻將	c=1 d=1.34381e-06 t=12980
da qi 	大氣	c=1 d=0.0378169 t=12980
da qun 	大羣	c=1 d=0.000553084 t=12980
da sao 	打掃	c=1 d=0.00304273 t=12980
da ting 	打聽	c=1 d=0.217621 t=12980
dai 	代	c=15 d=0.0908091 t=12980
dai 	帶	c=4 d=0.241714 t=12980
dai biao 	代表	c=4 d=0.0381973 t=12980
dai er 	戴爾	c=3 d=0.079659 t=12980
dai ge 	帶個	c=1 d=1.40567e-06 t=12980
dai ji 	待機	c=1 d=8.21689e-14 t=12980
dai kou zhao 	戴口罩	c=2 d=0.382072 t=12980
dai ma 	代碼	c=6 d=0.362402 t=12980
dai shang 	帶上	c=1 d=0.0884781 t=12980
dai zhe 	呆着	c=1 d=0.115903 t=12980
dai zhe 	帶着	c=1 d=0.115325 t=12980
dai zhe wo 	帶着我	c=1 d=0.00932553 t=12980
dan 	但	c=1 d=7.5227e-05 t=12980
dan 	單	c=2 d=0.00229965 t=12980
dan ci 	單詞	c=2 d=3.08179e-06 t=12980
dan dian 	單點	c=1 d=0.0561348 t=12980
dan du 	單獨	c=10 d=0.957017 t=12980
dan fang xiang 	單方向	c=1 d=0.00017252 t=12980
dan ge 	單個	c=9 d=0.109701 t=12980
dan na 	但那	c=0 d=2.4001e-07 t=12980
dan na gei qian 	但那給錢	c=1 d=2.41213e-06 t=12980
dan shi 	但是	c=18 d=1.30799 t=12980
dan si 	單絲	c=1 d=0.477114 t=12980
dan ti 	單體	c=1 d=1.65811e-08 t=12980
dan wei 	單位	c=12 d=2.37917 t=12980
dan wo 	但我	c=1 d=0.606531 t=12980
dan yuan 	單元	c=4 d=1.16556 t=12980
dang 	檔	c=1 d=0.00192083 t=12980
dang 	當	c=7 d=0.0620986 t=12980
dang qian 	當前	c=3 d=2.75613e-05 t=12980
dang shi 	當時	c=2 d=0.00597668 t=12980
dao 	到	c=27 d=1.90645 t=12980
dao ban 	盜版	c=1 d=7.65746e-08 t=12980
dao chu 	到處	c=1 d=7.48646e-07 t=12980
dao chu 	導出	c=8 d=7.94235e-05 t=12980
dao di 	到底	c=3 d=1.85737e-06 t=12980
dao le 	到了	c=1 d=0.090718 t=12980
dao ni 	到你	c=0 d=0.00816756 t=12980
dao qi 	到期	c=3 d=8.9759e-09 t=12980
dao ru 	導入	c=2 d=1.1512 t=12980
dao shi 	倒是	c=1 d=0.603506 t=12980
dao shi hou 	到時候	c=10 d=0.165336 t=12980
dao shou 	到手	c=1 d=1.80117e-11 t=12980
